"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Проверка создания записи","test.db","Mon Feb 23 13:39:19 UTC 2026","passed","Mon Feb 23 13:39:19 UTC 2026","","db_test","",""
"","6","test_accomodation_delete","test.db","Mon Feb 23 13:39:19 UTC 2026","passed","Mon Feb 23 13:39:19 UTC 2026","","db_test","",""
"","3","test_accomodation_update","test.db","Mon Feb 23 13:39:20 UTC 2026","passed","Mon Feb 23 13:39:20 UTC 2026","","db_test","",""
