"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_accomodation_delete","test.db","Mon Feb 23 13:25:24 UTC 2026","passed","Mon Feb 23 13:25:24 UTC 2026","","db_test","",""
"","6","test_accomodation_update","test.db","Mon Feb 23 13:25:24 UTC 2026","passed","Mon Feb 23 13:25:24 UTC 2026","","db_test","",""
"","4","Проверка создания записи","test.db","Mon Feb 23 13:25:23 UTC 2026","passed","Mon Feb 23 13:25:23 UTC 2026","","db_test","",""
