"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_select_by_id_not","test.db","Mon Feb 23 13:29:07 UTC 2026","passed","Mon Feb 23 13:29:07 UTC 2026","","db_test","",""
"","11","test_accomodation_update","test.db","Mon Feb 23 13:29:06 UTC 2026","passed","Mon Feb 23 13:29:06 UTC 2026","","db_test","",""
"","6","Проверка создания записи","test.db","Mon Feb 23 13:29:05 UTC 2026","passed","Mon Feb 23 13:29:05 UTC 2026","","db_test","",""
"","0","test_active_accomodations","test.db","Mon Feb 23 13:29:06 UTC 2026","passed","Mon Feb 23 13:29:06 UTC 2026","","db_test","",""
"","0","test_select_by_id","test.db","Mon Feb 23 13:29:07 UTC 2026","passed","Mon Feb 23 13:29:07 UTC 2026","","db_test","",""
"","6","test_accomodation_delete","test.db","Mon Feb 23 13:29:05 UTC 2026","passed","Mon Feb 23 13:29:05 UTC 2026","","db_test","",""
